organizationName,,Link
Boulevard Health Management,NYEB,https://app.ninjarmm.com/agent/installer/6cf61e85-f628-4bcb-9c78-32e0001c7763/boulevardhealthmanagementnyebeb5-5.7.9157-windows-installer.msi
Boulevard Health Management,ATRL,https://app.ninjarmm.com/agent/installer/6cf61e85-f628-4bcb-9c78-32e0001c7763/boulevardhealthmanagementatrlatriabuilderslga-5.7.9157-windows-installer.msi
BRONX PARK REHAB AND NURSING,BXPR,https://app.ninjarmm.com/agent/installer/6aabef72-db0a-4586-9aba-784045f48319/bronxparkrehabandnursingbxprbronxparkrehab-5.7.9157-windows-installer.msi
Brookside Rehab,BRSR,https://app.ninjarmm.com/agent/installer/67e68518-804e-457f-8de2-597037d83761/brooksiderehabbrsrbrooksidefacility-5.7.9157-windows-installer.msi
Brookside Rehab,BRSRHQ,https://app.ninjarmm.com/agent/installer/67e68518-804e-457f-8de2-597037d83761/brooksiderehabbrsrhqcorporate-5.7.9157-windows-installer.msi
Carbondale Rehab,CRBN,https://app.ninjarmm.com/agent/installer/a23e2a75-bfe1-47bf-9e54-7637fa88b0c5/carbondalerehabcrbncarbondalerehab-5.7.9157-windows-installer.msi
Care Group,CGEN,https://app.ninjarmm.com/agent/installer/5c310a0c-1b5e-4b27-b5fb-ad60fad64284/caregroupcgeneastovernursingcenter-5.7.9157-windows-installer.msi
Care Group,CGSN,https://app.ninjarmm.com/agent/installer/5c310a0c-1b5e-4b27-b5fb-ad60fad64284/caregroupcgsnshamrocknursingcenter-5.7.9157-windows-installer.msi
Care Group,CGNC,https://app.ninjarmm.com/agent/installer/5c310a0c-1b5e-4b27-b5fb-ad60fad64284/caregroupcgnccorp-5.7.9157-windows-installer.msi
Care Group,CGEC,https://app.ninjarmm.com/agent/installer/5c310a0c-1b5e-4b27-b5fb-ad60fad64284/caregroupcgeceastlandnursingcenter-5.7.9157-windows-installer.msi
Care Group,CGHH,https://app.ninjarmm.com/agent/installer/5c310a0c-1b5e-4b27-b5fb-ad60fad64284/caregroupcghhhighlandheightshealth-5.7.9157-windows-installer.msi
Care Group,CGMP,https://app.ninjarmm.com/agent/installer/5c310a0c-1b5e-4b27-b5fb-ad60fad64284/caregroupcgmpmyersparknursing-5.7.9157-windows-installer.msi
Care Group,CGRG,https://app.ninjarmm.com/agent/installer/5c310a0c-1b5e-4b27-b5fb-ad60fad64284/caregroupcgrgrandolphgardens-5.7.9157-windows-installer.msi
